FileName,ObjectNumer ,ObjectName,Type,ObjX,ObjY,ObjZ,ObjYAW,ObjPITCH,ObjROLL,ClassName,Class
,1,orange,solid,60,10,10,1.57,0,0,food,0
,2,potato,solid,50,10,10,1.57,0,0,food,0
,3,apple,solid,190,360,-70,0,0,1.57,food,0
,4,palm tree leaf,surface,40,10,10,1.57,0,0,leaf,1
,5,pecan leaf,surface,40,20,10,1.57,0,0.1,leaf,1
,6,short log,solid,40,10,10,1.57,0,0,log,2
,7,basil leaf,surface,30,10,10,1.57,0,0,leaf,1
,8,long log,solid,40,20,10,1.57,1.57,0,log,2
,9,tree branch with flower bud,solid,40,10,20,1.57,-1.57,1.57,branch,3
,10,magnolia leaf,surface,40,10,20,1.57,0,0,leaf,1
,11,rock,solid,50,20,10,0,0,1.57,rock,5
,12,rough surface 1,surface,30,20,10,-1.57,0,1.57,surface,4
,13,round chuncky rock,solid,45,20,10,-1.57,0,1.57,rock,5
,14,tree branch,solid,45,20,10,-1.57,0,1.57,branch,3
,15,rough surface 2,surface,30,20,10,-1.57,0,1.57,surface,4
,16,flat rough rock,solid,40,20,10,-1.57,0,1.57,rock,5
,17,curved thick tree branch,solid,35,20,10,-1.57,0,1.57,branch,3
,18,smooth flat rock,solid,50,20,10,-1.57,0,1.57,rock,5
,19,acacia leaf,surface,30,10,10,-1.57,0,1.57,leaf,1
,20,rough surface 3,surface,30,10,10,-1.57,0,1.57,surface,4
,21,cut egg,solid,60,10,10,1.57,0,1.57,food,0
,22,banana,solid,60,10,10,0,-1.57,0,food,0
,23,white mushroom,solid,60,10,10,-1.57,0,-1.57,food,0
,24,kiwi,solid,60,10,10,0,0,0,food,0
,25,pear,solid,55,10,10,0,0,-1.57,food,0
,26,crushed macaroon?,solid,50,20,5,-1.57,0,-1.57,food,0
,27,dry leaf,surface,40,20,5,-1.57,0,-1.57,leaf,1
,28,carrot,solid,40,20,5,1.57,0,0,food,0
,29,radish,solid,40,20,-5,1.57,0,0,food,0
,30,half eaten apple,solid,50,10,10,0,0,1,food,0
,31,pumpkin,solid,60,10,10,0,0,0,food,0
,32,dragon fruit (not actually),solid,75,0,-220,0,0,0,food,0
,33,ginger,solid,40,10,10,1.57,0,0,food,0
,34,mango?,solid,60,10,10,0,0,0,food,0
,35,peanut,solid,45,10,10,1.57,0,0,food,0
,36,raspberry,solid,60,10,10,0,0,0,food,0
,37,some kind of round fruit,solid,60,10,10,0,0,0,food,0
,38,shiitake mushroom,solid,40,20,10,-1.57,-0.7,0,food,0
,39,short branch,solid,40,20,10,1.57,0,0,branch,3
,40,piles of stones,solid,50,20,10,-1.57,0,0,rock,5
,41,piles of stones 2,solid,55,20,10,-1.57,0,0,rock,5
,42,portabella mushroom,solid,40,20,10,-1.57,-0.7,0,food,0
,43,stone field,solid,40,20,10,-1.57,0,0,rock,5
,44,stone field 2,solid,40,20,10,-1.57,0,0,rock,5
,45,stone field 3,solid,40,20,10,-1.57,0,0,rock,5
,46,stone field 4,solid,40,20,10,-1.57,0,0,rock,5
,47,celementine,solid,60,20,10,-1.57,0,0,food,0
,48,dry hazel leaf,surface,30,20,10,-1.57,0,0,leaf,1
,49,dry hazel leaf 2,surface,40,20,10,-1.57,0,0,leaf,1
,50,rectangular-ish leaf,surface,40,20,10,-1.57,0,0,leaf,1
,51,rectangular-ish leaf 2,surface,40,20,10,-1.57,0,0,leaf,1
,52,rectangular-ish leaf 3,surface,40,20,10,-1.57,0,0,leaf,1
,53,rectangular-ish leaf 4,surface,40,20,10,-1.57,0,0,leaf,1
,54,dry willow leaf,surface,40,20,10,-1.57,0,0,leaf,1
,55,damaged dry leaf,surface,20,20,10,-1.57,0,0,leaf,1
,56,small brach with dry leaves,surface,40,10,10,-1.57,0,0,leaf,1
,57,dry curved long leaf,surface,40,10,10,-1.57,0,0,leaf,1
,58,dry long leaf,surface,40,10,10,-1.57,0,0,leaf,1
,59,short pinecone,solid,50,10,10,-1.57,-0.7,0,leaf,1
,60,long pinecone,solid,50,10,10,-1.57,-0.7,0,pinecone,6
,61,used aluminum foil,surface,40,10,10,1.57,-0.7,0,surface,4
,62,used aluminum foil 2,surface,40,10,10,1.57,-0.7,0,surface,4
,63,pile of leaves,solid,40,10,10,1.57,-0.7,0,leaf,1
,64,clovers,surface,40,10,10,1.57,-0.7,0,leaf,1
,65,acorn,solid,50,10,10,1.57,0,0,food,0
,66,corn,solid,45,10,10,0,-0.7,0,food,0
,67,ice burg lettuce,solid,60,10,10,0,-0.7,0,food,0
,68,white mushroom 2,solid,60,10,10,0,-0.7,1.57,food,0
,69,edamame,solid,40,10,10,1.57,-0.7,1.57,food,0
,70,dry leaf,surface,40,10,10,1.57,-0.7,0,leaf,1
,71,lettuce leaf,surface,40,10,10,1.57,-0.7,0,leaf,1
,72,lettuce leaf 2,surface,40,10,10,1.57,-0.7,0,leaf,1
,73,lettuce leaf 3,surface,40,10,10,1.57,-0.7,0,leaf,1
,74,lettuce leaf 4,surface,40,10,10,1.57,-0.7,0,leaf,1
,75,lettuce leaf 5,surface,40,10,10,1.57,-0.7,0,leaf,1
,76,rough surface 4,surface,40,10,10,1.57,-0.7,0,surface,4
,77,rough surface 5,surface,40,10,10,1.57,-0.7,0,surface,4
,78,dry leaf  2,surface,40,10,10,1.57,-0.7,0,surface,4
,79,thick tree branch,solid,50,10,0,1.57,-0.7,0,leaf,1
,80,tree branch,solid,50,10,0,1.57,0,0,branch,3
,81,tree branch 2,solid,30,10,0,1.57,-1.57,0,branch,3
,82,tree branch 3,solid,30,10,0,1.57,-1.57,0,branch,3
,83,round rock 2,solid,50,10,0,1.57,-1.57,0,rock,5
,84,thick tree branch 2,solid,45,10,0,1.57,-1.57,0,branch,3
,85,pinecone,solid,50,10,5,1.57,0,0,pinecone,6
,86,dry green pea leaf,surface,40,10,5,1.57,0,0,leaf,1
,87,thick tree branch 3,solid,40,10,5,1.57,-0.7,0,branch,3
,88,pinecone 2,solid,60,10,5,1.57,-0.7,0,pinecone,6
,89,dry green pea leaf 2,surface,50,10,5,1.57,-0.7,0,leaf,1
,90,long straight tree branch,solid,30,10,5,1.57,-0.7,0,branch,3
,91,long curved tree branch,solid,30,10,5,1.57,-0.7,0,branch,3
,92,multiple leaves,surface,50,10,5,1.57,-0.7,0,leaf,1
,93,dry oak tree,surface,50,10,5,1.57,-0.7,0,log,2
,94,sharp rock,solid,50,10,5,1.57,-0.7,0,rock,5
,95,flat rock,solid,50,10,5,1.57,-0.7,0,rock,5
,96,long tree branch ,solid,30,0,5,1.57,-0.7,0,branch,3
,97,tree branch 4,solid,30,0,5,1.57,-0.7,0,branch,3
